state,sum(cases),sum(deaths)
Utah,205581,1998
Hawaii,28266,595
Minnesota,282491,14724
Ohio,755119,38465
Northern Mariana Islands,689,92
Oregon,115862,4336
Arkansas,134312,2759
Texas,1282385,33806
North Dakota,44513,962
Pennsylvania,1970295,102387
Connecticut,1116652,86078
Nebraska,201088,2794
Vermont,40628,2049
Nevada,222290,10034
Puerto Rico,71061,3568
Washington,707111,37088
Illinois,2316059,98378
Oklahoma,158406,8861
Virgin Islands,3028,150
District of Columbia,190158,8726
Delaware,191719,6214
Alaska,16291,328
New Mexico,144662,5363
West Virginia,47805,1593
Missouri,336833,14588
Rhode Island,332313,11387
Georgia,1084055,45422
Montana,21483,594
Virginia,692810,23001
Michigan,1753801,146085
Guam,42669,281
North Carolina,459988,15526
Wyoming,24368,222
Kansas,187170,5529
New Jersey,4883171,278144
Maryland,950641,45068
Alabama,319025,11654
Arizona,348419,14918
Iowa,314108,7066
Massachusetts,2475673,136594
Kentucky,203552,9886
Louisiana,1258141,75647
Mississippi,295400,12060
New Hampshire,97186,3497
Tennessee,486777,8620
Florida,1480283,52255
Indiana,764794,43385
Idaho,89993,2437
South Carolina,264996,9759
South Dakota,100555,877
California,2211456,84009
New York,13231107,937038
Wisconsin,321457,13107
Colorado,649106,31234
Maine,51587,2076
